GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,CTY_SUBA,PLACEA,TRACTA,TRBL_CTA,TRBL_BGA,BLCK_GRPA,C_CITYA,TRUSTA,RES_ONLYA,AIANHHA,TRBL_SUBA,ANRCA,MSA_CMSAA,PMSAA,NECMAA,URB_AREAA,URBRURALA,CD106A,CD108A,CD109A,ZIP3A,ZCTAA,NAME,GV5001,GV5002,GV5003,GV5004,GV5005,GV5006,GV5007,GV5008,GV5009,GV5010,GV5011,GV5012,GV5013,GV5014,GV5015,GV5016,GV5017,GV5018,GV5019,GV5020,GV5021,GV5022,GV5023,GV5024,GV5025,GV5026,GV5027,GV5028,GV5029,GV5030,GV5031,GV5032,GV5033,GV5034,GV5035,GV5036,GV5037,GV5038,GV5039,GV5040,GV5041,GV5042,GV5043,GV5044,GV5045,GV5046,GV5047,GV5048,GV5049,GV5050,GV5051,GV5052,GV5053,GV5054,GV5055,GV5056,GV5057,GV5058,GV5059,GV5060,GV5061,GV5062,GV5063,GV5064,GV5065,GV5066,GV5067,GV5068,GV5069,GV5070,GV5071
"G1200570","2000","3","5","Florida","12","Hillsborough","057",,,,,,,,,,,,,"8280","9999","9999",,,,,,,,"Hillsborough County",117,17,119,17,4894,489,8,248,2028,123,975,1132,5084,298,2610,0,151,795,17,2618,1337,2449,13418,625,93893,42,6844,1252,27891,7633,121505,6,4402,999,4846,36,738,103509,108,63021,126,1936,81,53,68,22,276,6694,428,22915,2647,878,7010,925,15893,19856,322,350,1418,286,7,6290,8992,1878,601,2048,77904,6030,12957,964,345003
"G1200590","2000","3","5","Florida","12","Holmes","059",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Holmes County",0,0,5,0,40,0,14,2,17,0,0,0,57,0,15,0,0,0,0,0,0,10,195,0,1438,0,64,22,449,52,1038,0,16,7,11,0,0,1699,23,229,0,0,0,0,0,0,0,23,0,185,22,0,13,0,278,190,0,0,0,0,0,137,26,22,0,12,4703,82,63,7,3029
"G1200610","2000","3","5","Florida","12","Indian River","061",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Indian River County",7,0,0,16,308,83,7,56,411,0,125,51,887,6,618,19,58,39,0,435,150,450,2173,39,17128,0,615,420,4115,1057,17906,0,510,0,665,0,6,17568,18,9422,33,287,0,15,14,11,14,957,68,3381,490,85,858,247,2449,3227,43,63,285,23,0,639,1857,363,28,316,8769,1094,892,34,17667
"G1200630","2000","3","5","Florida","12","Jackson","063",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Jackson County",15,0,0,0,0,0,0,13,23,0,35,0,71,0,38,0,0,0,0,34,5,50,377,0,3005,0,147,6,554,101,2291,0,70,0,40,0,0,2907,0,522,5,15,0,0,0,0,30,91,6,257,11,6,45,19,660,436,0,0,0,3,0,524,115,15,0,11,7485,205,73,36,11078
"G1200650","2000","3","5","Florida","12","Jefferson","065",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Jefferson County",10,0,0,0,7,0,0,14,20,0,3,0,63,0,30,0,0,0,0,20,4,52,168,0,1449,0,33,0,293,33,985,0,12,0,21,0,0,1008,0,139,0,9,0,0,0,0,0,37,0,101,15,0,18,30,261,253,0,0,0,0,0,86,110,13,0,12,1553,110,25,8,5047
"G1200670","2000","3","5","Florida","12","Lafayette","067",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Lafayette County",3,0,7,0,26,0,0,0,0,0,6,0,9,0,2,0,0,0,0,0,0,6,69,0,521,0,76,0,167,23,301,0,8,0,0,0,0,451,6,91,0,0,0,0,0,0,0,18,0,21,0,0,0,2,149,36,0,0,0,0,0,66,20,6,0,0,1486,12,57,0,1686
"G1200690","2000","3","5","Florida","12","Lake","069",,,,,,,,,,,,,"5960","9999","9999",,,,,,,,"Lake County",13,0,26,2,565,31,0,67,497,4,234,36,1015,23,915,0,80,180,0,752,391,1006,4476,37,30098,0,1208,337,8173,2362,35195,9,554,166,1076,0,69,25638,31,10661,40,445,7,8,8,0,119,1855,169,5724,532,147,1041,283,4196,5567,54,169,634,66,0,1024,3011,660,76,418,23028,1924,974,142,36398
"G1200710","2000","3","5","Florida","12","Lee","071",,,,,,,,,,,,,"2700","9999","9999",,,,,,,,"Lee County",64,16,59,34,1250,208,17,117,1450,12,771,296,2124,56,2532,0,9,776,12,2070,963,1880,8619,136,57736,73,1802,1123,15908,5516,83131,0,2135,188,3632,24,48,60674,87,35459,80,1615,68,56,182,23,99,5408,514,15999,1936,615,3387,557,7989,10447,241,245,1857,445,5,898,6558,1607,229,1464,36241,3551,5281,377,76912
"G1200730","2000","3","5","Florida","12","Leon","073",,,,,,,,,,,,,"8240","9999","9999",,,,,,,,"Leon County",109,0,6,8,825,59,0,139,507,0,159,62,1807,52,523,8,134,137,0,361,242,739,2694,271,26015,18,2611,185,6419,1024,24538,0,1136,198,807,90,211,22498,79,7756,39,310,7,0,19,13,168,1744,34,3744,267,243,1486,240,6186,6100,52,37,417,31,0,3241,1943,443,140,364,16806,1533,2640,62,73226
"G1200750","2000","3","5","Florida","12","Levy","075",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Levy County",15,0,0,0,66,14,0,7,67,0,22,4,181,10,119,0,4,34,0,2,37,44,571,0,3867,0,121,66,1038,367,4074,0,53,0,134,0,11,3902,0,1156,9,21,5,0,0,0,4,178,12,537,92,10,100,11,619,720,0,4,45,1,0,94,259,70,3,12,4812,72,54,5,6106
"G1200770","2000","3","5","Florida","12","Liberty","077",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Liberty County",0,0,0,0,0,0,0,0,0,0,0,0,3,0,13,0,0,0,0,12,0,0,111,0,330,0,65,0,53,0,306,0,4,0,0,0,0,444,0,60,0,0,0,0,0,0,6,9,5,22,3,0,8,0,40,64,0,0,0,0,0,27,6,3,0,0,1705,3,0,0,1226
"G1200790","2000","3","5","Florida","12","Madison","079",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Madison County",0,0,0,0,55,0,0,0,20,20,0,0,20,0,0,0,0,0,0,9,4,30,121,6,1636,0,94,8,180,51,671,0,0,0,18,0,0,1106,0,202,0,10,0,0,0,0,7,39,6,165,0,0,11,0,302,195,0,0,0,0,0,240,30,0,0,0,2331,27,39,0,6671
"G1200810","2000","3","5","Florida","12","Manatee","081",,,,,,,,,,,,,"7510","9999","9999",,,,,,,,"Manatee County",46,0,42,32,774,225,6,71,927,0,246,144,1180,21,1189,0,70,402,0,987,505,980,5972,97,36006,10,886,461,9813,3202,46022,6,1015,42,1965,6,38,33064,72,16325,132,908,31,20,17,0,102,2701,407,7820,676,319,2295,251,4831,7013,118,108,760,123,0,1018,4068,1085,105,788,21861,2302,1879,200,48240
"G1200830","2000","3","5","Florida","12","Marion","083",,,,,,,,,,,,,"5790","9999","9999",,,,,,,,"Marion County",98,0,38,23,757,81,0,57,609,16,297,104,949,22,937,0,55,193,0,693,391,871,5259,27,30919,17,1078,319,10065,2802,40634,6,918,83,1359,0,107,32479,49,16022,67,647,8,27,9,6,139,2410,246,6826,747,194,1595,215,4974,6266,40,166,672,142,0,916,2594,618,33,363,24859,1947,2370,131,52747
"G1200850","2000","3","5","Florida","12","Martin","085",,,,,,,,,,,,,"2710","9999","9999",,,,,,,,"Martin County",17,0,10,16,286,98,0,26,669,8,227,12,738,21,506,15,32,103,0,466,329,725,2522,102,19245,16,598,311,4903,1972,22326,0,581,18,964,0,18,21473,15,13291,55,610,0,0,50,0,38,1309,91,4468,441,108,1118,211,2787,3445,54,122,407,114,0,193,2431,632,17,449,8960,1062,1093,93,17531
"G1200860","2000","3","5","Florida","12","Miami-Dade","086",,,,,,,,,,,,,"4992","5000","9999",,,,,,,,"Miami-Dade County",83,5,195,33,14670,812,104,364,4882,853,867,9880,5485,388,3427,16,119,731,26,1997,1166,1758,6901,2430,44587,79,7432,705,21682,3275,57478,22,4835,2115,6451,122,1822,50975,2381,52545,559,2390,51,45,71,55,274,3960,189,22028,5055,3171,25811,496,6950,9604,174,342,690,117,7,14001,5421,1908,1837,2864,89239,2850,160282,734,1507722
"G1200870","2000","3","5","Florida","12","Monroe","087",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Monroe County",22,0,50,0,250,145,38,44,375,0,97,78,427,56,405,0,21,37,0,467,210,393,1347,40,11332,0,592,132,3365,725,12596,0,447,9,448,0,13,11063,59,5515,30,308,16,9,17,12,59,793,82,2841,192,95,816,127,1518,2221,26,52,243,51,0,188,1346,345,27,245,5478,745,916,110,19661
"G1200890","2000","3","5","Florida","12","Nassau","089",,,,,,,,,,,,,"3600","9999","9999",,,,,,,,"Nassau County",0,0,0,0,88,0,0,0,91,14,18,0,287,1,71,0,12,30,0,85,79,114,730,0,6879,0,312,79,1535,350,5198,0,207,5,103,11,0,6409,0,1385,0,81,0,0,0,0,51,451,9,748,120,46,154,10,1270,1253,0,21,66,0,0,106,314,39,0,31,11665,244,163,68,8508
"G1200910","2000","3","5","Florida","12","Okaloosa","091",,,,,,,,,,,,,"2750","9999","9999",,,,,,,,"Okaloosa County",117,0,0,0,527,45,0,100,174,0,158,49,1199,0,271,0,8,169,0,541,222,457,2490,17,19106,8,2119,372,5230,1580,23122,0,753,0,450,22,12,20198,29,6528,31,238,34,6,0,0,116,2046,121,3498,438,99,627,191,4234,4622,53,23,265,22,0,708,1859,284,72,270,20680,1103,537,52,37164
"G1200930","2000","3","5","Florida","12","Okeechobee","093",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Okeechobee County",12,0,0,0,65,14,8,26,14,0,6,0,43,0,84,0,0,7,0,31,35,6,440,0,3463,0,88,28,962,176,3635,0,39,0,39,0,0,3998,0,990,0,22,0,0,0,0,0,204,30,256,72,0,124,6,483,503,0,22,18,0,0,196,194,76,0,46,4752,95,215,7,10590
"G1200950","2000","3","5","Florida","12","Orange","095",,,,,,,,,,,,,"5960","9999","9999",,,,,,,,"Orange County",128,5,289,37,6234,287,56,229,1908,113,694,3487,4788,316,2589,35,89,774,13,2044,1241,2728,11934,382,77081,121,5180,1225,22738,6715,100657,9,2994,1843,4189,286,765,86828,232,47701,178,1559,69,35,99,6,404,6681,352,19510,2648,854,5807,832,12762,16640,265,379,1783,197,0,7673,7658,1798,308,2044,66142,5029,34686,1033,317857
"G1200970","2000","3","5","Florida","12","Osceola","097",,,,,,,,,,,,,"5960","9999","9999",,,,,,,,"Osceola County",57,0,21,0,1145,53,0,44,433,0,179,783,1094,0,617,0,47,105,0,574,220,391,2280,54,14348,31,830,219,5090,1888,20931,0,485,252,1032,0,25,17758,30,10434,7,179,16,18,0,0,31,931,179,4624,737,125,950,64,2409,2759,46,67,198,18,0,832,1461,262,20,402,12928,1011,3796,107,63640
"G1200990","2000","3","5","Florida","12","Palm Beach","099",,,,,,,,,,,,,"8960","9999","9999",,,,,,,,"Palm Beach County",96,55,411,93,6630,1199,50,328,10310,144,1364,2698,5446,273,5973,2,151,856,113,3513,1967,2768,14398,3524,90910,222,6445,4879,29909,9136,130288,0,7434,488,12864,88,807,119396,1379,106774,987,4514,65,159,229,80,200,7200,619,50587,4119,5492,48767,799,13362,18089,441,424,2225,352,15,4975,11076,2337,1365,5154,74801,5954,50920,1072,285517
"G1201010","2000","3","5","Florida","12","Pasco","101",,,,,,,,,,,,,"8280","9999","9999",,,,,,,,"Pasco County",20,4,41,27,1335,228,0,40,1204,17,494,82,1567,72,1950,0,55,543,65,1651,823,1121,7061,107,42713,35,1477,837,14530,4643,62262,0,4497,81,2906,36,30,52511,43,37870,44,1250,41,35,217,23,162,3794,401,16113,1476,291,2307,457,6417,7769,160,264,1290,136,0,383,4828,897,86,1357,32386,2899,978,497,43473
"G1201030","2000","3","5","Florida","12","Pinellas","103",,,,,,,,,,,,,"8280","9999","9999",,,,,,,,"Pinellas County",161,31,1451,82,5137,813,13,412,3633,62,1043,593,6257,500,5920,0,165,1640,84,4078,2440,4238,17696,436,118118,60,5005,1978,37770,11153,164794,5,13068,305,7889,98,454,135658,398,81833,726,4111,211,132,157,155,653,10344,675,36345,3683,1574,9964,1090,19659,25212,685,523,2715,516,5,4102,14904,3215,570,4173,58031,7870,5579,3405,160337
"G1201050","2000","3","5","Florida","12","Polk","105",,,,,,,,,,,,,"3980","9999","9999",,,,,,,,"Polk County",85,0,54,24,713,164,0,53,593,0,397,106,2179,46,1401,9,82,227,0,825,487,992,8555,36,50537,0,2153,607,13204,3829,57412,0,919,79,1788,23,75,50067,6,16529,41,603,37,0,45,15,170,2931,316,8392,923,275,1359,347,8378,9026,117,130,669,83,0,2276,4134,1025,48,580,68544,2656,5246,260,121297
"G1201070","2000","3","5","Florida","12","Putnam","107",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Putnam County",8,0,0,0,76,20,0,16,32,0,57,0,256,0,126,0,9,32,0,27,63,91,1021,12,7204,6,330,45,1718,475,6293,16,85,21,229,3,10,6311,0,1717,5,146,0,0,0,0,0,271,39,823,168,49,147,59,1179,1330,11,5,63,4,0,208,478,60,8,57,10904,370,175,14,16368
"G1201090","2000","3","5","Florida","12","St Johns","109",,,,,,,,,,,,,"3600","9999","9999",,,,,,,,"St. Johns County",44,0,26,9,401,104,18,67,475,0,63,58,820,9,383,0,47,137,0,452,232,557,2140,44,19112,9,1147,245,4765,1216,19724,0,711,0,912,16,45,18997,66,8480,86,444,25,7,35,7,60,1224,82,3729,361,112,1185,188,3127,3886,52,81,322,34,0,275,1668,386,0,512,11908,1135,216,47,18423
"G1201110","2000","3","5","Florida","12","St Lucie","111",,,,,,,,,,,,,"2710","9999","9999",,,,,,,,"St. Lucie County",7,0,20,0,513,73,6,24,667,45,331,131,673,19,671,25,38,171,0,540,361,618,3169,82,21278,32,447,451,6402,2493,27708,11,1068,57,1677,20,37,28158,58,21034,44,555,0,14,14,6,30,1650,116,7053,981,142,1842,238,2985,3802,13,132,605,131,0,1706,2242,389,71,747,14452,1110,6272,152,40334
"G1201130","2000","3","5","Florida","12","Santa Rosa","113",,,,,,,,,,,,,"6080","9999","9999",,,,,,,,"Santa Rosa County",60,0,16,0,247,25,0,38,170,11,65,29,696,0,299,0,15,58,0,216,173,307,1940,0,13226,48,1041,132,3902,1082,14937,0,399,8,405,41,58,14545,0,4442,0,137,0,0,10,0,122,1402,7,2002,231,59,407,204,3286,3262,16,43,99,10,0,321,1018,131,45,213,18890,594,121,34,20787
"G1201150","2000","3","5","Florida","12","Sarasota","115",,,,,,,,,,,,,"7510","9999","9999",,,,,,,,"Sarasota County",29,0,110,65,1229,347,9,153,1776,26,550,301,2386,99,1981,0,45,358,15,1738,716,1531,7065,214,48073,70,1546,846,14157,4033,65642,0,1822,63,3649,38,60,46817,66,25082,224,1307,131,50,45,17,189,3592,329,14054,1037,744,5463,507,7267,9610,324,143,1190,194,0,819,6218,1962,108,2102,23253,3346,1190,553,39262
"G1201170","2000","3","5","Florida","12","Seminole","117",,,,,,,,,,,,,"5960","9999","9999",,,,,,,,"Seminole County",90,8,137,23,2585,460,0,155,1395,88,452,279,2639,93,1513,0,130,312,0,1169,769,1431,5709,329,44047,9,3151,609,12437,3710,60172,0,1946,404,2814,79,570,48851,124,30237,97,1036,26,47,43,21,213,3868,214,11960,1323,579,4713,483,7295,9100,178,171,1312,205,0,1940,4926,1025,222,952,25320,2876,5167,392,88763
"G1201190","2000","3","5","Florida","12","Sumter","119",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Sumter County",9,0,10,0,100,10,0,0,118,0,64,0,195,0,141,0,7,23,0,214,30,178,907,0,6945,0,220,60,1524,433,7727,0,90,5,209,0,0,6404,4,2487,15,150,0,0,14,0,9,483,103,1073,94,20,142,33,945,1089,0,31,112,9,0,360,585,76,0,58,6027,359,248,15,11147
"G1201210","2000","3","5","Florida","12","Suwannee","121",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Suwannee County",0,0,0,0,61,11,0,0,45,0,6,24,42,0,42,0,0,0,0,62,20,96,615,0,3538,0,82,52,608,226,2824,0,97,0,35,0,0,3267,0,635,2,6,0,0,0,0,13,172,0,237,9,11,89,12,598,696,7,0,7,0,0,128,395,34,0,15,6453,142,58,0,7010
"G1201230","2000","3","5","Florida","12","Taylor","123",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Taylor County",9,0,0,0,35,0,7,0,0,0,15,0,12,0,52,0,25,0,0,17,29,0,267,0,1521,0,81,17,300,93,1329,0,26,0,22,0,13,1506,8,347,0,51,0,0,0,0,0,48,11,94,0,21,22,0,356,224,10,0,0,0,0,151,110,8,0,0,3468,79,0,0,4372
"G1201250","2000","3","5","Florida","12","Union","125",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Union County",13,0,0,0,17,8,0,5,30,0,0,0,22,0,18,0,0,0,0,24,0,11,166,4,639,0,69,5,182,26,701,0,25,0,16,0,0,941,15,305,7,0,0,0,0,0,0,55,0,127,24,21,8,0,173,185,0,0,0,0,0,92,77,7,0,14,3225,20,25,0,2832
"G1201270","2000","3","5","Florida","12","Volusia","127",,,,,,,,,,,,,"2020","9999","9999",,,,,,,,"Volusia County",82,21,34,28,1800,250,4,127,1273,52,473,326,2422,80,1869,0,80,375,0,1553,953,1591,8580,144,56760,33,2280,837,16776,5671,69500,0,2382,165,2881,33,328,61895,38,36291,186,1279,46,13,135,15,70,3861,395,14911,1294,398,3011,447,9564,10645,264,175,1168,326,0,1926,5717,1339,175,1715,37462,3730,2838,386,80776
"G1201290","2000","3","5","Florida","12","Wakulla","129",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Wakulla County",0,0,0,0,48,0,0,0,9,0,8,0,125,0,33,0,13,0,0,8,10,32,505,5,2338,0,98,0,393,161,1773,0,30,0,19,0,2,2395,0,533,0,19,0,0,0,0,0,120,8,189,10,0,14,28,698,545,0,8,15,0,0,50,168,25,10,0,3058,89,20,0,3769
"G1201310","2000","3","5","Florida","12","Walton","131",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Walton County",76,0,0,0,36,0,0,20,2,0,56,0,94,2,56,0,0,36,0,71,37,178,584,9,4667,0,307,49,1003,170,4362,2,96,0,76,0,3,5011,7,912,5,40,0,0,0,0,2,214,2,353,33,23,108,9,1494,979,8,9,0,13,0,156,322,36,0,27,7280,276,97,7,7108
"G1201330","2000","3","5","Florida","12","Washington","133",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Washington County",0,0,0,0,21,0,0,0,0,0,0,0,94,0,43,0,0,0,0,20,8,38,304,0,1658,0,82,1,221,72,1432,0,40,0,30,0,0,1924,0,615,0,87,0,0,0,0,7,104,8,197,35,18,67,9,454,241,0,0,17,0,0,94,41,19,0,0,3887,73,40,0,3775
"G1300010","2000","3","5","Georgia","13","Appling","001",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Appling County",0,0,0,0,0,0,0,0,0,0,0,0,9,0,6,0,0,0,0,3,5,22,55,0,906,0,172,5,75,8,357,0,7,0,0,0,0,806,0,20,0,0,0,0,0,0,0,8,0,49,5,0,11,0,177,226,0,0,0,0,0,35,32,36,0,10,5114,13,3,0,4377
"G1300030","2000","3","5","Georgia","13","Atkinson","003",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Atkinson County",0,0,0,0,0,0,0,0,7,0,0,0,3,0,20,0,0,0,0,0,0,0,12,0,299,0,30,0,27,5,89,0,18,0,1,0,0,365,0,11,0,0,0,0,0,0,0,0,0,14,0,0,8,0,50,58,0,0,0,0,0,21,32,0,0,0,1921,1,0,0,2627
"G1300050","2000","3","5","Georgia","13","Bacon","005",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Bacon County",0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,16,0,585,0,41,0,65,19,249,0,0,0,0,0,0,502,0,82,0,0,0,0,0,0,0,12,0,39,0,0,0,0,33,61,0,0,0,0,0,19,0,0,0,0,3206,0,13,0,2003
"G1300070","2000","3","5","Georgia","13","Baker","007",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Baker County",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,28,0,178,0,18,0,31,0,92,0,0,0,0,0,0,173,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,21,0,0,0,0,0,16,6,5,0,0,708,0,4,0,1914
"G1300090","2000","3","5","Georgia","13","Baldwin","009",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Baldwin County",0,0,0,0,67,5,0,0,11,0,6,5,182,14,37,0,0,0,0,18,13,33,169,0,2749,0,316,0,471,50,1777,0,19,0,48,0,38,2308,0,577,7,16,5,0,0,0,7,114,5,159,5,8,36,33,702,586,0,0,0,0,0,404,112,19,0,5,6434,127,39,0,17141
"G1300110","2000","3","5","Georgia","13","Banks","011",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Banks County",0,0,0,0,0,0,0,4,0,0,16,0,27,0,0,0,0,0,0,8,1,10,146,0,1354,0,51,11,109,49,617,0,0,0,1,0,0,1213,0,119,0,8,0,0,0,0,0,17,0,36,0,0,20,12,207,196,0,0,0,0,0,0,16,7,0,0,4606,27,8,14,1960
"G1300130","2000","3","5","Georgia","13","Barrow","013",,,,,,,,,,,,,"0520","9999","9999",,,,,,,,"Barrow County",3,0,0,0,10,14,0,0,23,9,16,0,298,0,70,0,2,21,0,26,16,53,444,0,4028,0,293,10,737,165,3994,0,70,0,83,0,0,4934,0,881,9,57,0,0,0,0,0,206,8,468,0,15,7,15,865,748,12,0,31,9,0,170,238,56,8,135,9236,316,63,0,9191
"G1300150","2000","3","5","Georgia","13","Bartow","015",,,,,,,,,,,,,"0520","9999","9999",,,,,,,,"Bartow County",1,0,0,0,83,0,8,18,29,0,10,3,341,7,27,0,0,42,0,72,31,165,967,3,6063,0,737,13,1359,188,5531,0,122,4,67,0,0,6886,4,1066,20,77,0,0,0,0,9,284,11,550,22,7,106,53,1370,1402,4,0,69,0,0,245,263,68,10,79,19890,280,158,0,13129
"G1300170","2000","3","5","Georgia","13","Ben Hill","017",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Ben Hill County",17,0,0,0,5,0,0,18,8,0,9,0,45,0,0,0,14,0,0,0,0,0,77,0,785,0,34,0,97,19,454,0,0,0,30,0,0,1178,0,58,0,0,0,0,0,0,0,21,5,34,0,0,0,0,298,56,0,0,0,0,0,277,40,0,0,0,3531,17,15,7,6416
"G1300190","2000","3","5","Georgia","13","Berrien","019",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Berrien County",2,0,0,0,18,0,0,0,14,0,0,0,13,0,2,0,0,0,0,0,0,11,191,0,1173,0,74,0,235,8,863,0,10,0,2,0,0,1401,0,130,0,0,0,0,0,0,0,19,0,54,6,0,0,0,152,170,4,0,0,0,0,19,52,1,0,0,3779,39,16,0,3382
"G1300210","2000","3","5","Georgia","13","Bibb","021",,,,,,,,,,,,,"4680","9999","9999",,,,,,,,"Bibb County",0,0,7,0,285,7,0,38,97,29,31,7,468,0,104,0,21,40,0,176,40,66,1028,75,11573,0,1216,41,1709,262,5972,0,216,0,173,0,63,8571,0,1727,8,21,0,0,0,0,57,345,0,783,78,15,182,56,2165,2294,0,19,25,34,0,1280,372,47,0,73,16801,442,287,21,68396
"G1300230","2000","3","5","Georgia","13","Bleckley","023",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Bleckley County",0,0,0,0,8,0,0,0,0,0,0,8,55,0,8,0,0,0,0,26,0,13,37,0,652,0,78,14,97,0,346,0,0,0,0,0,0,603,0,47,0,0,0,0,0,0,0,27,0,59,0,0,14,0,287,98,0,0,0,0,0,118,13,10,0,7,2613,33,20,6,3149
"G1300250","2000","3","5","Georgia","13","Brantley","025",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Brantley County",0,0,0,0,6,0,0,0,5,0,0,0,111,0,32,0,0,0,0,23,8,19,73,0,1081,0,67,37,80,17,483,0,4,0,24,0,8,1167,0,65,0,0,0,0,0,0,0,3,0,12,0,2,6,10,122,121,0,0,6,0,0,20,15,8,0,0,5073,34,0,6,1797
"G1300270","2000","3","5","Georgia","13","Brooks","027",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Brooks County",0,0,0,0,24,0,0,0,6,0,0,0,38,0,0,0,0,0,0,0,7,0,128,0,1051,0,185,0,160,27,650,0,0,0,0,17,0,729,0,76,0,6,0,0,0,0,15,10,0,46,0,0,0,5,236,158,11,0,9,0,0,281,5,32,13,0,2920,64,5,0,5735
"G1300290","2000","3","5","Georgia","13","Bryan","029",,,,,,,,,,,,,"7520","9999","9999",,,,,,,,"Bryan County",10,0,0,0,8,0,0,7,10,0,9,0,81,0,11,0,9,0,0,15,0,69,341,0,2318,0,136,0,421,137,2481,0,52,0,76,0,0,2507,0,734,0,9,0,0,0,0,0,165,0,354,5,8,32,8,483,524,0,0,7,51,0,36,142,0,0,47,4055,61,13,0,5051
"G1300310","2000","3","5","Georgia","13","Bulloch","031",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Bulloch County",6,0,12,0,107,0,0,0,83,0,8,26,281,0,71,0,0,10,0,43,21,55,606,11,4487,0,679,8,809,82,3523,9,105,0,53,0,0,4437,0,815,9,26,0,0,0,0,19,219,0,309,0,5,93,30,1094,768,0,19,9,0,0,1093,161,47,12,31,7207,219,113,0,16265
"G1300330","2000","3","5","Georgia","13","Burke","033",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Burke County",0,0,0,0,0,0,0,0,0,0,16,0,50,0,45,0,0,0,0,9,45,0,268,0,1106,0,42,23,285,23,701,0,21,0,15,0,0,905,0,107,0,0,0,0,0,0,0,15,0,63,14,0,15,0,320,180,0,16,0,0,0,226,20,63,0,0,2741,33,27,0,11299
"G1300350","2000","3","5","Georgia","13","Butts","035",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Butts County",0,0,0,0,19,0,0,0,6,0,0,0,5,0,8,0,2,0,0,17,7,18,203,0,1326,0,64,0,177,59,1012,1,33,0,11,0,0,1621,0,192,0,0,0,0,0,0,0,62,0,48,0,0,0,0,197,261,0,0,2,0,0,124,55,32,3,0,4662,31,22,0,5684
"G1300370","2000","3","5","Georgia","13","Calhoun","037",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Calhoun County",0,0,0,0,0,0,0,0,0,0,0,0,18,0,5,0,0,0,0,0,0,0,6,0,294,0,28,0,17,2,117,0,0,0,0,0,0,207,0,12,0,3,0,0,0,0,18,0,0,9,0,0,0,0,93,38,0,0,0,0,0,87,5,2,0,0,540,2,7,0,2453
"G1300390","2000","3","5","Georgia","13","Camden","039",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Camden County",4,0,0,0,72,0,0,7,58,0,98,0,189,0,93,0,52,8,8,88,55,110,479,0,3686,0,678,53,1219,578,5092,0,86,7,110,0,22,5016,0,1884,0,72,46,0,8,0,0,430,10,876,92,7,191,50,806,1347,0,26,8,0,0,325,392,48,12,120,4861,312,237,18,13372
"G1300430","2000","3","5","Georgia","13","Candler","043",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Candler County",0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,40,0,335,0,35,0,90,8,288,0,0,0,0,0,0,454,0,102,0,8,0,0,0,0,0,13,9,23,0,0,0,0,114,108,0,5,0,0,0,54,17,47,0,0,2022,0,37,0,2967
